nSXRtkERXFM	-0.0	Sexual Compulsivity (SCS) - sex thought more than want scale. I think about sex more than I would like to. As part of Sexual Compulsivity Scale (SCS) questionnaire
8kbyRtApZce	-0.03742860259610281	Sexual Compulsivity (SCS) - sex thought strong than self scale. I feel that sexual thoughts and feelings are stronger than I am. As part of Sexual Compulsivity Scale (SCS) questionnaire
An4npMH575J	-0.08922999794782971	Sexual Compulsivity (SCS) - sex thought struggle scale. I have to struggle to control my sexual thoughts and behavior. As part of Sexual Compulsivity Scale (SCS) questionnaire
vuhEgrPv5b4	-0.10288058096357167	Sexual Compulsivity (SCS) - sex thought work scale. I find myself thinking about sex while at work. As part of Sexual Compulsivity Scale (SCS) questionnaire
hyAdCSb5Tr2	-0.11083144311455284	Sexual Compulsivity (SCS) - sex desire disrupt daily life scale. My desires to have sex have disrupted my daily life. As part of Sexual Compulsivity Scale (SCS) questionnaire
BFWCfsZbwYb	-0.1315323765917097	Sexual Compulsivity (SCS) - fail responsibility sex scale. I sometimes fail to meet my commitments and responsibilities because of my sexual behaviors. As part of Sexual Compulsivity Scale (SCS) questionnaire
XKQA7ffY4r7	-0.16103504119235468	Sexual Compulsivity Scale (SCS) - difficulty partner sex desire scale. It has been difficult for me to find sex partners who desire having sex as much as I want to. As part of Sexual Compulsivity Scale (SCS) questionnaire
QkfrF1OnJQx	-0.39282815137616534	People have more desire for sex when they drink.. 
wFcQvdMAeUB	-0.39574622231847056	Stroke Specific Quality of Life Scale (SS-QOL) - sex social role scale. The scale for having sex less often based on Stroke Specific Quality of Life Scale (SS-QOL).
7kesFS5ZS8	-0.4070869158680791	Sex in the last year - Reported. A patient's self-report of sexual activity in the last 12 months.
m1JA_da68	-0.41179155498990416	PROMIS - Positive expectancies people more desire for sex when drink scale. Scale related to an individual believing people have more of a desire for sex when they drink, as part of the PROMIS Positive Expectancies
LZiKSObKa	-0.4290568929690616	Sex [USSG-FHT]. Sex of the patient, created for the U.S. Surgeon General's Family Health History Portrait.
QkZndydhymg	-0.4427073842070819	In the past 30 days How often have you felt like you wanted to have sex?. 
2dyYtsn9	-0.44365322825321385	Sex type code. Code for the subject/participant's sex
mkZ56bd66U	-0.4445212420406429	PROMIS - Positive consequences more desire for sex when drink scale. Scale related to if the individual had more desire for sex when he/she drank, as part of the PROMIS Positive Consequences
hfA60EMB7mf	-0.4505880139488686	Headache Screening Survey (HSS) - household member sex type. The sex of each members of a participant's household who suffer from severe headaches from Headache Screening Survey (HSS) which is a questionnaire that screens for alcohol dependency without it appearing to be the main focus of the instrument.
dvEQ3Mi5w2	-0.4506609876503297	Sexual Orientation - Specify. The pattern of a person's emotional, romantic, and/or sexual attractions, not described in initial value selection list or secondary value selection list
cJinh_sk6f	-0.452561598878341	Sexual Orientation - Select Other. The pattern of a person's emotional, romantic, and/or sexual attractions, not described in initial value selection list
XJiKrc_BI	-0.45663482896574026	Sex in the last 3 months - Reported. A patient's self-report of sexual activity in the last three months.
XkGctrqWr8	-0.4586625229634326	Ever had sex - Reported. A patient's self-report of ever being sexually active.
XkE9Yyu2yXx	-0.4647840952309552	In the past 30 days How often have you thought that your sex life is wonderful?. 
L4LirGyWRB	-0.4741913011342662	Sexual Orientation. The pattern of a person's emotional, romantic, and/or sexual attractions.
PrfCYR_Pbz4	-0.4742609222013363	Non-Motor Symptom assessment scale for Parkinson's Disease (NMSS) - sex problem frequency severity value. The value of the frequency multiplied by severity for the participant/subject having problems having sex as part of the Non-Motor Symptom assessment scale for Parkinson's Disease (NMSS).
J8ci_CzOgQ	-0.48079111989487455	Societal sex. This term was created for the U.S. Department of Health and Human Services (HHS) 2015 Edition Health Information Technology (Health IT) Certification Criteria final rule. [https://www.federalregister.gov/articles/2015/10/16/2015-25597/2015-edition-health-information-technology-health-it-certification-criteria-2015-edition-base]
N7bHP0vG1G	-0.48333715014947765	Gender - Select Other. Additional Options for characteristics of people that are socially constructed, including norms, behaviors, and roles based on sex. As a social construct, gender varies from society to society and can change over time. (Adapted from WHO.)
m1mZIvXgr0z	-0.48668709063422777	Sex decreased interest indicator. Indicator of whether the patient/participant has experienced decreased interest in sex.
QJlQiFXUXU	-0.48672911781264605	Would you like to answer the question referring to your sex life [FACIT]. 
6zw3RJZINg	-0.4873121957312547	Sex at Birth. The self-reported sex of the participant/subject at birth.
gtqOBUXBf	-0.4876232251083531	Sex type. The sex of the subject/participant
mygNSAd6TL	-0.4879967301617264	Sex at Birth Type. Self-reported sex of the participant/subject at birth.
myDed9inox	-0.49005159717870783	Over the past 4 weeks when you had sexual stimulation or intercourse, how often did you have the feeling of orgasm or climax [PhenX]. 
06ArFWmaU7E	-0.49830758221853155	World Health Organization Quality of Life (WHOQOL-BREF) - sex life scale. Scale used to assess sex life satisfaction, as part of the World Health Organization Quality of Life (WHQOL-BREF) questionnaire
m19euqinsg	-0.5013695878556981	Over the past 4 weeks how satisfied have you been with your overall sex life [PhenX]. 
mkIxdcohoe	-0.5024617351523608	Over the past 4 weeks when you had sexual stimulation or intercourse, how often did you ejaculate [PhenX]. 
mJbVrC_a68	-0.5057835007446456	Sex at birth other text. Text describing another variety of the subject's self-proclaimed sex at his/her birth.
XyxZUd75Rq7	-0.5071765161998014	Kiddie Schedule for Affective Disorders Present and Lifetime (KSADS-PL) - sex child phenotype type. The phenotypic sex of the participant/subject, as part of the Kiddie Schedule for Affective Disorders Present and Lifetime version (KSADS-PL)
QJbDwOY6aL	-0.5118185155173157	Salivary cortisol test result unit of measure. The unit of measurement used for the Salivary Cortisol Test.
Xy8cY1_2k7x	-0.5122426042190915	In the past 30 days When you have had sexual activity, how much have you enjoyed it?. 
AkxFsMsug	-0.5149911959070719	Sex type code other text. The free-text field relating to 'Sex Type Code' specifying other text
my9loFqo3jg	-0.517355289739633	How many times in the last year have you had or tried to have sexual relations with someone against their will, other than events you just mentioned [Denver Youth Survey]. 
NKwM4gsfXS	-0.5180076125698836	Gender. Characteristics of people that are socially constructed, including norms, behaviors, and roles based on sex. As a social construct, gender varies from society to society and can change over time. (Adapted from WHO.)
7Jf5YJ_2kXg	-0.5189683749848901	In the past 30 days How satisfied have you been with your sex life?. 
66pRU9Pg8YG	-0.5233727283820081	Questionnaire for Impulsive Disorders in Parkinson's Disease (QUIP-Current-Short) - sex behavior indicator. Indicates if there is an issue with too much sex behavior, as part of the Questionnaire for Impulsive Disorders in Parkinson's Disease (QUIP-Current-Short)
VNoSMDHGJUg	-0.5241831600778503	Non-Motor Symptom assessment scale for Parkinson's Disease (NMSS) - alter sex interest severity score. The severity of the participant/subject having altered interest in sex. Very much increased or decreased as part of the Non-Motor Symptom assessment scale for Parkinson's Disease (NMSS).
XJlvvuY66U	-0.527233150214339	Salivary cortisol test result value. Value describing the results from the Salivary Cortisol Test.
z7B8YG2B_aP	-0.5273896887937364	Parkinson's Disease Non Motor Symptoms (PD NMS) - feeling less more interested sex indicator. Indicator of participant/subject feeling less/more interested in sex, as part of the Parkinson's Disease Non Motor Symptoms (PD NMS) Questionnaire.
Q1lYGnUrkv	-0.5301733076303684	Sex. Self-identified gender where gender is the assemblage of properties that distinguish people on the basis of the societal roles
QkPqt1dh1Qg	-0.5310407173782723	In the past 30 days When you have had sexual activity, how satisfying has it been?. 
DmdfRvS3o	-0.5323645072390781	Birth sex assigned type. Self-reported phenotypic sex of participant/subject, assigned at birth.
SytMgohDaJz	-0.5331400935546581	Sibling gender type. Reported gender of the sibling. Gender is the socially constructed identity of sex
ezelurehr2	-0.5332105010874206	Sex. A textual description of a person's sex at birth.
m1R_1_nJmx	-0.5342804442493823	In the past 30 days How much has recent weight gain affected your satisfaction with your sex life?. 
CzpMSo6kTUX	-0.5346465346997196	Questionnaire for Impulsive Disorders in Parkinson's Disease (QUIP-Current-Short) - sex behavior difficulty indicator. Indicates if there is a difficulty controlling sex behavior, as part of the Questionnaire for Impulsive Disorders in Parkinson's Disease (QUIP-Current-Short)
